year,model,state,y_log,pred_log,cases
2018,Negative-binomial GLM (history),LAKSHADWEEP,0.0,1.3154355824498918,0
2018,Negative-binomial GLM (history),MADHYA PRADESH,8.413387022690648,10.505557750378488,4506
2018,Negative-binomial GLM (history),MAHARASHTRA,9.306740866262498,11.254800614809138,11011
2018,Negative-binomial GLM (history),MANIPUR,2.70805020110221,6.2350148616840375,14
2018,Negative-binomial GLM (history),MEGHALAYA,3.8066624897703196,6.163760753677076,44
2018,Negative-binomial GLM (history),MIZORAM,4.23410650459726,5.487492963828207,68
2018,Negative-binomial GLM (history),NAGALAND,5.91350300563827,6.195033731344258,369
2018,Negative-binomial GLM (history),ODISHA,8.556221578383715,10.136660420384871,5198
2018,Negative-binomial GLM (history),PUDUCHERRY,6.385194398997726,6.42890823893107,592
2018,Negative-binomial GLM (history),PUNJAB,9.614538010517382,10.048388251172499,14980
2018,Negative-binomial GLM (history),RAJASTHAN,9.168267595554275,10.758897606751441,9587
2018,Negative-binomial GLM (history),SIKKIM,5.771441123130016,4.951275563717634,320
2018,Negative-binomial GLM (history),TAMIL NADU,8.408939605975984,10.993967646531049,4486
2018,Negative-binomial GLM (history),TELANGANA,8.432288684325794,9.959817170524012,4592
2018,Negative-binomial GLM (history),TRIPURA,4.61512051684126,6.545541760631331,100
2018,Negative-binomial GLM (history),UTTAR PRADESH,8.250620082174692,11.671516036449482,3829
2018,Negative-binomial GLM (history),UTTARAKHAND,6.536691597591305,8.23246138363259,689
2018,Negative-binomial GLM (full),ANDAMAN AND NICOBAR,3.912023005428146,3.987726040846504,49
2018,Negative-binomial GLM (full),ANDHRA PRADESH,8.297045149081827,8.38870761779861,4011
2018,Negative-binomial GLM (full),ARUNACHAL PRADESH,0.6931471805599453,3.8638932287607535,1
2018,Negative-binomial GLM (full),ASSAM,5.117993812416755,8.531202134659102,166
2018,Negative-binomial GLM (full),BIHAR,7.669961995473577,8.074459749116055,2142
2018,Negative-binomial GLM (full),CHANDIGARH,5.71042701737487,7.420505291849681,301
2018,Negative-binomial GLM (full),CHHATTISGARH,7.891704659330107,6.853787307196507,2674
2018,Negative-binomial GLM (full),DADRA AND NAGAR HAVELI,6.202535517187923,7.509178799657109,493
2018,Negative-binomial GLM (full),DAMAN AND DIU,5.099866427824199,5.73960649767252,163
2018,Negative-binomial GLM (full),DELHI,8.873047798971067,9.534083574958158,7136
2018,Negative-binomial GLM (full),GOA,5.817111159963204,6.712580618817813,335
2018,Negative-binomial GLM (full),GUJARAT,8.933268478636418,9.259852428464997,7579
2018,Negative-binomial GLM (full),HARYANA,7.549082710812286,8.731545395822693,1898
2018,Negative-binomial GLM (full),HIMACHAL PRADESH,8.449556542700426,6.839748686129395,4672
2018,Negative-binomial GLM (full),JAMMU AND KASHMIR,5.3706380281276624,6.081977885797891,214
2018,Negative-binomial GLM (full),JHARKHAND,6.139884552226255,6.579798107292582,463
2018,Negative-binomial GLM (full),KARNATAKA,8.395703293828527,9.97998421084394,4427
2018,Negative-binomial GLM (full),KERALA,8.314832179284556,10.574119981596468,4083
2018,Negative-binomial GLM (full),LAKSHADWEEP,0.0,1.9264322388785091,0
2018,Negative-binomial GLM (full),MADHYA PRADESH,8.413387022690648,8.128706690159385,4506
2018,Negative-binomial GLM (full),MAHARASHTRA,9.306740866262498,9.894502052364182,11011
2018,Negative-binomial GLM (full),MANIPUR,2.70805020110221,5.367174893340358,14
2018,Negative-binomial GLM (full),MEGHALAYA,3.8066624897703196,4.462552215381147,44
2018,Negative-binomial GLM (full),MIZORAM,4.23410650459726,6.1665112110043,68
2018,Negative-binomial GLM (full),NAGALAND,5.91350300563827,6.162597250003813,369
2018,Negative-binomial GLM (full),ODISHA,8.556221578383715,8.483108395713035,5198
2018,Negative-binomial GLM (full),PUDUCHERRY,6.385194398997726,8.199840762694354,592
2018,Negative-binomial GLM (full),PUNJAB,9.614538010517382,9.852001985215905,14980
2018,Negative-binomial GLM (full),RAJASTHAN,9.168267595554275,8.710469242047093,9587
2018,Negative-binomial GLM (full),SIKKIM,5.771441123130016,5.862458034480391,320
2018,Negative-binomial GLM (full),TAMIL NADU,8.408939605975984,10.505521626037806,4486
2018,Negative-binomial GLM (full),TELANGANA,8.432288684325794,9.085403789419697,4592
2018,Negative-binomial GLM (full),TRIPURA,4.61512051684126,4.963983923287249,100
2018,Negative-binomial GLM (full),UTTAR PRADESH,8.250620082174692,8.665584108986847,3829
2018,Negative-binomial GLM (full),UTTARAKHAND,6.536691597591305,7.027664840027535,689
2018,Gradient boosting (history only),ANDAMAN AND NICOBAR,3.912023005428146,3.3662923583871462,49
2018,Gradient boosting (history only),ANDHRA PRADESH,8.297045149081827,8.438767778209558,4011
2018,Gradient boosting (history only),ARUNACHAL PRADESH,0.6931471805599453,1.8004198242614198,1
2018,Gradient boosting (history only),ASSAM,5.117993812416755,10.038320400899119,166
2018,Gradient boosting (history only),BIHAR,7.669961995473577,7.438155232224227,2142
2018,Gradient boosting (history only),CHANDIGARH,5.71042701737487,7.141560724960982,301
2018,Gradient boosting (history only),CHHATTISGARH,7.891704659330107,6.543521213473509,2674
2018,Gradient boosting (history only),DADRA AND NAGAR HAVELI,6.202535517187923,8.746523886806322,493
2018,Gradient boosting (history only),DAMAN AND DIU,5.099866427824199,5.868159121711411,163
2018,Gradient boosting (history only),DELHI,8.873047798971067,8.811123658409336,7136
2018,Gradient boosting (history only),GOA,5.817111159963204,5.166434244245192,335
2018,Gradient boosting (history only),GUJARAT,8.933268478636418,9.072119853482446,7579
