state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
HIMACHAL PRADESH,2020,21,69.96,218788.0,45.4,6864602.0,10.03,123.0,0.3059172257910947
HIMACHAL PRADESH,2021,349,69.96,218788.0,45.4,6864602.0,10.03,123.0,5.084052942909145
HIMACHAL PRADESH,2022,3326,69.96,218788.0,45.4,6864602.0,10.03,123.0,48.45146157053242
HIMACHAL PRADESH,2023,1989,69.96,218788.0,45.4,6864602.0,10.03,123.0,28.974731528499397
HIMACHAL PRADESH,2024,3359,69.96,218788.0,45.4,6864602.0,10.03,123.0,48.93218863963272
JAMMU AND KASHMIR,2015,153,44.74,130492.0,29.3,12267032.0,26.11,297.0,1.247245462472096
JAMMU AND KASHMIR,2016,79,44.74,130492.0,29.3,12267032.0,26.11,297.0,0.6440025590542194
JAMMU AND KASHMIR,2017,488,44.74,130492.0,29.3,12267032.0,26.11,297.0,3.978142390107077
JAMMU AND KASHMIR,2018,214,44.74,130492.0,29.3,12267032.0,26.11,297.0,1.7445132612354806
JAMMU AND KASHMIR,2019,439,44.74,130492.0,29.3,12267032.0,26.11,297.0,3.5786977648709155
JAMMU AND KASHMIR,2020,53,44.74,130492.0,29.3,12267032.0,26.11,297.0,0.4320523497452358
JAMMU AND KASHMIR,2021,1709,44.74,130492.0,29.3,12267032.0,26.11,297.0,13.931650296502038
JAMMU AND KASHMIR,2022,8269,44.74,130492.0,29.3,12267032.0,26.11,297.0,67.40831849138407
JAMMU AND KASHMIR,2023,6403,44.74,130492.0,29.3,12267032.0,26.11,297.0,52.19681500790085
JAMMU AND KASHMIR,2024,6876,44.74,130492.0,29.3,12267032.0,26.11,297.0,56.0526784310989
JHARKHAND,2015,102,36.72,99288.0,35.2,32988134.0,24.05,414.0,0.3092020906669046
JHARKHAND,2016,414,36.72,99288.0,35.2,32988134.0,24.05,414.0,1.2549967209421424
JHARKHAND,2017,710,36.72,99288.0,35.2,32988134.0,24.05,414.0,2.1522890624853166
JHARKHAND,2018,463,36.72,99288.0,35.2,32988134.0,24.05,414.0,1.4035349801840866
JHARKHAND,2019,825,36.72,99288.0,35.2,32988134.0,24.05,414.0,2.500899262747023
JHARKHAND,2020,79,36.72,99288.0,35.2,32988134.0,24.05,414.0,0.2394800506145634
JHARKHAND,2021,220,36.72,99288.0,35.2,32988134.0,24.05,414.0,0.6669064700658728
JHARKHAND,2022,290,36.72,99288.0,35.2,32988134.0,24.05,414.0,0.8791039832686505
JHARKHAND,2023,2578,36.72,99288.0,35.2,32988134.0,24.05,414.0,7.814931271953727
JHARKHAND,2024,1528,36.72,99288.0,35.2,32988134.0,24.05,414.0,4.6319685739120615
KARNATAKA,2015,5077,49.26,304474.0,43.8,61095297.0,38.67,319.0,8.309968605275786
